Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,144.950001mm,193.675000mm,Top,180.0,144.950001mm,193.675000mm
D1,104.900000mm,197.600000mm,Top,180.0,104.900000mm,197.600000mm
D2,145.000000mm,197.374889mm,Top,90.0,145.000000mm,197.374889mm
D3,130.500000mm,78.000000mm,Top,0.0,130.500000mm,78.000000mm
D4,130.500000mm,83.000000mm,Top,0.0,130.500000mm,83.000000mm
D5,130.500000mm,93.000000mm,Top,0.0,130.500000mm,93.000000mm
D6,130.500000mm,88.000000mm,Top,0.0,130.500000mm,88.000000mm
F1,98.300000mm,197.360334mm,Top,-90.0,98.300000mm,197.360334mm
G1,91.000000mm,10.800000mm,Top,0.0,91.000000mm,10.800000mm
G2,68.460000mm,38.120000mm,Top,90.0,68.460000mm,38.120000mm
G3,68.460000mm,25.420000mm,Top,90.0,68.460000mm,25.420000mm
G4,76.080000mm,38.120000mm,Top,90.0,76.080000mm,38.120000mm
G5,76.080000mm,25.420000mm,Top,90.0,76.080000mm,25.420000mm
G6,83.700000mm,50.820000mm,Top,180.0,83.700000mm,50.820000mm
G7,83.700000mm,25.420000mm,Top,90.0,83.700000mm,25.420000mm
G8,83.700000mm,38.120000mm,Top,90.0,83.700000mm,38.120000mm
J1,76.550000mm,202.800000mm,Top,0.0,76.550000mm,202.800000mm
J2,19.250000mm,14.769999mm,Top,0.0,19.250000mm,14.769999mm
J4,23.000000mm,47.800000mm,Top,180.0,23.000000mm,47.800000mm
M1,55.150000mm,95.300000mm,Top,-90.0,55.150000mm,95.300000mm
M2,27.575000mm,61.319999mm,Top,-90.0,27.575000mm,61.319999mm
M3,42.562498mm,70.188336mm,Top,180.0,42.562498mm,70.188336mm
P1,63.500000mm,191.800000mm,Top,180.0,63.500000mm,191.800000mm
P2,43.000000mm,196.800000mm,Top,180.0,43.000000mm,196.800000mm
P3,38.000000mm,198.300000mm,Top,180.0,38.000000mm,198.300000mm
P4,35.000000mm,195.300000mm,Top,180.0,35.000000mm,195.300000mm
P5,66.500000mm,191.800000mm,Top,180.0,66.500000mm,191.800000mm
P6,51.500000mm,187.800000mm,Top,180.0,51.500000mm,187.800000mm
P7,45.500000mm,187.800000mm,Top,180.0,45.500000mm,187.800000mm
P8,32.000000mm,199.300000mm,Top,180.0,32.000000mm,199.300000mm
P9,72.500000mm,191.800000mm,Top,180.0,72.500000mm,191.800000mm
P10,61.000000mm,188.800000mm,Top,180.0,61.000000mm,188.800000mm
P11,61.000000mm,184.300000mm,Top,180.0,61.000000mm,184.300000mm
P12,54.500000mm,187.800000mm,Top,180.0,54.500000mm,187.800000mm
P13,48.500000mm,187.800000mm,Top,180.0,48.500000mm,187.800000mm
P14,35.000000mm,199.300000mm,Top,180.0,35.000000mm,199.300000mm
P15,22.000000mm,198.500000mm,Top,180.0,22.000000mm,198.500000mm
P16,16.000000mm,198.500000mm,Top,180.0,16.000000mm,198.500000mm
P17,28.000001mm,198.500000mm,Top,180.0,28.000001mm,198.500000mm
P18,25.000000mm,198.500000mm,Top,180.0,25.000000mm,198.500000mm
P19,19.000001mm,198.500000mm,Top,180.0,19.000001mm,198.500000mm
P20,13.000000mm,198.500000mm,Top,180.0,13.000000mm,198.500000mm
P21,132.500000mm,188.800000mm,Top,0.0,132.500000mm,188.800000mm
P22,123.500000mm,188.800000mm,Top,0.0,123.500000mm,188.800000mm
P23,117.000000mm,188.800000mm,Top,0.0,117.000000mm,188.800000mm
P24,137.500000mm,198.300000mm,Top,-90.0,137.500000mm,198.300000mm
P25,137.500000mm,195.300000mm,Top,-90.0,137.500000mm,195.300000mm
P26,134.500000mm,195.300000mm,Top,0.0,134.500000mm,195.300000mm
P27,95.268524mm,197.000000mm,Top,0.0,95.268524mm,197.000000mm
P28,127.000000mm,188.800000mm,Top,0.0,127.000000mm,188.800000mm
P29,114.500000mm,196.500000mm,Top,0.0,114.500000mm,196.500000mm
P30,113.500000mm,188.800000mm,Top,0.0,113.500000mm,188.800000mm
P31,136.000000mm,78.000000mm,Top,0.0,136.000000mm,78.000000mm
P32,136.000000mm,83.000000mm,Top,0.0,136.000000mm,83.000000mm
P33,136.000000mm,93.000000mm,Top,0.0,136.000000mm,93.000000mm
P34,136.000000mm,88.000000mm,Top,0.0,136.000000mm,88.000000mm
P35,140.200000mm,127.400000mm,Top,-90.0,140.200000mm,127.400000mm
P36,140.200000mm,130.400000mm,Top,-90.0,140.200000mm,130.400000mm
P37,140.200000mm,136.400000mm,Top,-90.0,140.200000mm,136.400000mm
P38,141.000000mm,172.000000mm,Top,90.0,141.000000mm,172.000000mm
P39,141.000000mm,175.500000mm,Top,90.0,141.000000mm,175.500000mm
P40,141.000000mm,168.500000mm,Top,90.0,141.000000mm,168.500000mm
P41,146.500000mm,168.000000mm,Top,-90.0,146.500000mm,168.000000mm
P42,146.500000mm,165.000000mm,Top,-90.0,146.500000mm,165.000000mm
P43,146.500000mm,159.500000mm,Top,-90.0,146.500000mm,159.500000mm
P44,146.500000mm,156.500000mm,Top,-90.0,146.500000mm,156.500000mm
P45,146.500000mm,151.500000mm,Top,-90.0,146.500000mm,151.500000mm
